,climbRate,Sgz,p,q,curPitch,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SeTime1,SeTime2,SeTime3,SeTime4,SeTime5,SeTime6,SeTime7,SeTime8,SeTime9,SeTime10,SeTime11,SeTime12,SeTime13,SeTime14,diffSeTime1,diffSeTime3,diffSeTime5,diffSeTime7,diffSeTime9,diffSeTime11,diffSeTime13,alpha,Se,goal
0,2.0,-56.0,-0.33,-0.09,0.9,0.2,-11.0,12.0,0.004,-0.1,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.032,-0.0009
1,470.0,-39.0,0.02,0.12,0.39,-0.6,-12.0,8.0,0.009,-1.6,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.034,-0.0011
2,165.0,4.0,0.14,0.14,0.78,0.4,-11.0,-9.0,-0.003,-0.2,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.034,-0.0012
3,-113.0,5.0,-0.12,0.11,1.06,0.6,-10.0,-7.0,-0.008,0.0,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.033,-0.0011
4,-411.0,-21.0,-0.17,0.07,1.33,-0.6,-11.0,0.0,0.002,0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.032,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.9,0.032,-0.0008
5,-105.0,-42.0,0.23,-0.06,0.92,-0.6,-12.0,10.0,0.011,0.0,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.028,-0.001
6,144.0,-40.0,0.31,-0.01,0.67,0.6,-10.0,5.0,-0.005,-0.2,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.029,-0.0012
7,249.0,-11.0,-0.38,0.06,0.56,0.4,-11.0,-2.0,-0.008,-0.1,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.029,-0.001
8,229.0,-4.0,-0.45,0.05,0.58,-0.4,-11.0,-2.0,0.002,0.3,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.029,-0.0009
9,-60.0,14.0,0.22,0.15,0.89,-1.6,-13.0,-8.0,0.01,-0.2,0.029,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.03,-0.001
10,-206.0,8.0,0.35,0.12,1.02,-0.9,-12.0,-4.0,0.001,-0.5,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.029,-0.0011
11,-261.0,-28.0,-0.09,0.02,1.02,0.4,-11.0,3.0,-0.008,-0.1,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.027,-0.001
12,-145.0,-46.0,-0.23,0.04,0.89,-0.7,-12.0,2.0,-0.001,-0.1,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.026,-0.0009
13,-27.0,-55.0,0.2,0.06,0.76,-0.9,-12.0,-1.0,0.004,-0.2,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.026,-0.0008
14,-42.0,-57.0,0.3,0.07,0.77,-0.3,-11.0,-2.0,0.004,-0.2,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.026,-0.0009
15,-61.0,-58.0,0.34,0.07,0.79,0.2,-11.0,-3.0,0.002,-0.2,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.026,-0.001
16,-73.0,-59.0,0.33,0.08,0.81,0.4,-11.0,-4.0,-0.003,-0.3,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.026,-0.0011
17,-22.0,-72.0,-0.32,0.0,0.71,0.6,-10.0,4.0,-0.009,-0.1,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.024,-0.0009
