,area,rooms,bathroom,parking_spaces,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),totalBRL
0,70.0,2,1,1,2065.0,3300.0,211.0,42.0,8.633908991112198
1,320.0,4,4,0,1200.0,4960.0,1750.0,63.0,8.983941527941301
2,80.0,1,1,1,1000.0,2800.0,0.0,41.0,8.253748343328501
3,51.0,2,1,0,270.0,1112.0,22.0,17.0,7.259819610363186
4,25.0,1,1,0,0.0,800.0,25.0,11.0,6.729824070489475
5,376.0,3,3,7,0.0,8000.0,834.0,121.0,9.100078977718645
6,72.0,2,1,0,740.0,1900.0,85.0,25.0,7.919719760924575
7,213.0,4,4,4,2254.0,3223.0,1735.0,41.0,8.889308319842847
8,152.0,2,2,1,1000.0,15000.0,250.0,191.0,9.707533494010876
9,35.0,1,1,0,590.0,2300.0,35.0,30.0,7.991592282068092
10,26.0,1,1,0,470.0,2100.0,150.0,27.0,7.91862865334224
11,46.0,1,1,1,550.0,580.0,43.0,8.0,7.074963197966044
12,36.0,1,1,0,359.0,2100.0,70.0,27.0,7.846589975291186
13,55.0,1,1,1,790.0,4200.0,224.0,54.0,8.569595870209286
14,100.0,2,2,2,900.0,4370.0,17.0,56.0,8.583729715216482
15,330.0,4,6,6,680.0,8000.0,328.0,121.0,9.119320973589014
16,110.0,2,2,1,700.0,3000.0,122.0,39.0,8.258940462988459
17,88.0,2,3,1,1614.0,3500.0,221.0,16.0,8.585225601808064
18,56.0,2,1,0,800.0,1220.0,0.0,16.0,7.619233416226805
19,600.0,4,5,6,0.0,12000.0,9500.0,181.0,9.98419157995109
20,100.0,7,4,0,0.0,3800.0,118.0,58.0,8.28828304520769
21,42.0,1,1,1,470.0,2690.0,172.0,36.0,8.122371243406553
22,160.0,3,2,2,1530.0,1900.0,167.0,25.0,8.195057690895077
23,35.0,1,1,0,0.0,1100.0,3.0,14.0,7.0192966537150445
24,90.0,3,2,1,800.0,1800.0,118.0,24.0,7.916807490937603
25,49.0,1,1,1,480.0,3500.0,42.0,45.0,8.31090675716845
26,41.0,1,1,1,600.0,3000.0,0.0,39.0,8.199738960630786
27,64.0,2,2,1,352.0,1500.0,80.0,20.0,7.577121930876679
28,208.0,3,2,4,0.0,3180.0,100.0,48.0,8.110427237575024
29,20.0,1,1,0,602.0,1800.0,130.0,23.0,7.846198815497425
30,55.0,2,2,2,780.0,1068.0,142.0,14.0,7.60339933974067
