,carat,depth,table,x,y,z,price
0,0.23,61.5,55.0,3.95,3.98,2.43,5.7899601708972535
1,0.21,59.8,61.0,3.89,3.84,2.31,5.7899601708972535
2,0.23,56.9,65.0,4.05,4.07,2.31,5.793013608384144
3,0.29,62.4,58.0,4.2,4.23,2.63,5.814130531825066
4,0.31,63.3,58.0,4.34,4.35,2.75,5.817111159963204
5,0.24,62.8,57.0,3.94,3.96,2.48,5.820082930352362
6,0.24,62.3,57.0,3.95,3.98,2.47,5.820082930352362
7,0.26,61.9,55.0,4.07,4.11,2.53,5.823045895483019
8,0.22,65.1,61.0,3.87,3.78,2.49,5.823045895483019
9,0.23,59.4,61.0,4.0,4.05,2.39,5.82600010738045
10,0.3,64.0,55.0,4.25,4.28,2.73,5.8289456176102075
11,0.23,62.8,56.0,3.93,3.9,2.46,5.831882477283517
12,0.22,60.4,61.0,3.88,3.84,2.33,5.8377304471659395
13,0.31,62.2,54.0,4.35,4.37,2.71,5.84354441703136
14,0.2,60.2,62.0,3.79,3.75,2.27,5.846438775057725
15,0.32,60.9,58.0,4.38,4.42,2.68,5.846438775057725
16,0.3,62.0,54.0,4.31,4.34,2.68,5.855071922202427
17,0.3,63.4,54.0,4.23,4.29,2.7,5.863631175598097
18,0.3,63.8,56.0,4.23,4.26,2.71,5.863631175598097
19,0.3,62.7,59.0,4.21,4.27,2.66,5.863631175598097
20,0.3,63.3,56.0,4.26,4.3,2.71,5.863631175598097
21,0.23,63.8,55.0,3.85,3.92,2.48,5.8664680569332965
22,0.23,61.0,57.0,3.94,3.96,2.41,5.869296913133774
23,0.31,59.4,62.0,4.39,4.43,2.62,5.869296913133774
24,0.31,58.1,62.0,4.44,4.47,2.59,5.869296913133774
25,0.23,60.4,58.0,3.97,4.01,2.41,5.872117789475416
26,0.24,62.5,57.0,3.97,3.94,2.47,5.87493073085203
27,0.3,62.2,57.0,4.28,4.3,2.67,5.8805329864007
28,0.23,60.5,61.0,3.96,3.97,2.4,5.8805329864007
