,age,height_cm,weight_kg,release_clause_eur,club_joined,wage_eur
0,34,170,72,144300000.0,1628553600000000000,12.676079399771027
1,32,185,81,197200000.0,1404172800000000000,12.506180941677357
2,36,187,83,83300000.0,1630022400000000000,12.506180941677357
3,29,175,68,238700000.0,1501718400000000000,12.506180941677357
4,30,181,70,232200000.0,1440892800000000000,12.765691290604371
5,28,188,87,238000000.0,1405468800000000000,11.775297421715827
6,22,182,73,373500000.0,1530403200000000000,12.345838935721968
7,35,193,93,22300000.0,1309478400000000000,11.362114203075018
8,29,187,85,210400000.0,1404172800000000000,12.429220196836383
9,27,188,89,246100000.0,1280275200000000000,12.388398368982115
10,30,168,70,185000000.0,1468627200000000000,12.345838935721968
11,33,185,81,135300000.0,1247097600000000000,12.765691290604371
12,29,199,96,181700000.0,1533772800000000000,12.429220196836383
13,28,183,78,197600000.0,1440720000000000000,12.301387370778713
14,29,185,84,180400000.0,1373500800000000000,12.644330802262578
15,29,193,92,159100000.0,1514764800000000000,12.345838935721968
16,29,175,69,186900000.0,1467331200000000000,12.506180941677357
17,29,175,71,186900000.0,1498867200000000000,12.506180941677357
18,27,188,86,181000000.0,1498867200000000000,12.206077645517674
19,26,177,75,186300000.0,1435708800000000000,11.982935344196433
20,28,191,91,157900000.0,1531958400000000000,12.154784614286667
21,22,196,90,230000000.0,1626307200000000000,11.608244735642321
22,35,184,82,44400000.0,1625702400000000000,11.652696102959753
23,34,182,83,91200000.0,1600992000000000000,11.813037464800539
24,31,183,76,153800000.0,1405555200000000000,12.644330802262578
25,28,191,94,173000000.0,1628726400000000000,12.468440756144114
26,34,185,80,28700000.0,1567382400000000000,11.775297421715827
27,26,170,69,206900000.0,1436832000000000000,12.577639650232573
28,26,179,69,206900000.0,1580342400000000000,12.429220196836383
29,20,194,94,244100000.0,1577836800000000000,11.608244735642321
30,33,173,70,104600000.0,1625097600000000000,12.468440756144114
31,34,188,82,25700000.0,1346371200000000000,11.736077016252437
32,35,172,66,65600000.0,1343779200000000000,12.154784614286667
33,33,180,69,91600000.0,1438819200000000000,11.982935344196433
34,31,195,90,69300000.0,1500422400000000000,11.561725152903833
35,31,185,76,108900000.0,1218326400000000000,11.849404844423074
36,31,185,85,114800000.0,1469577600000000000,11.736077016252437
37,28,191,84,147100000.0,1470700800000000000,12.301387370778713
38,28,165,60,147100000.0,1342569600000000000,11.951186847493476
39,27,183,75,174200000.0,1374192000000000000,11.813037464800539
40,26,189,82,160400000.0,1530403200000000000,11.849404844423074
41,27,177,75,160400000.0,1435708800000000000,11.982935344196433
42,27,178,64,160700000.0,1500595200000000000,12.07254696717504
43,24,180,74,253900000.0,1561939200000000000,12.25486757159303
44,22,180,69,219500000.0,1444176000000000000,11.918397239722838
45,21,180,76,224300000.0,1626998400000000000,11.918397239722838
46,24,187,82,197300000.0,1601337600000000000,12.04355959836804
47,36,187,85,19800000.0,1120176000000000000,11.385103457032141
48,36,193,92,12800000.0,1341100800000000000,11.264476926102367
49,32,191,96,74800000.0,1561939200000000000,11.461642696843066
