,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude,medianhousevalue
0,8.3252,41,880.0,129.0,322.0,126.0,37.88,-122.23,13.022766221635607
1,8.3014,21,7099.0,1106.0,2401.0,1138.0,37.86,-122.22,12.7896867284182
2,7.2574,52,1467.0,190.0,496.0,177.0,37.85,-122.24,12.771673345241355
3,5.6431,52,1274.0,235.0,558.0,219.0,37.85,-122.25,12.740520064864135
4,3.8462,52,1627.0,280.0,565.0,259.0,37.85,-122.25,12.74315356270364
5,4.0368,52,919.0,213.0,413.0,193.0,37.85,-122.25,12.505069216944454
6,3.6591,52,2535.0,489.0,1094.0,514.0,37.84,-122.25,12.608870867322864
7,3.12,52,3104.0,687.0,1157.0,647.0,37.84,-122.25,12.39421473013906
8,2.0804,42,2555.0,665.0,1206.0,595.0,37.84,-122.26,12.331387247601905
9,3.6912,52,3549.0,707.0,1551.0,714.0,37.84,-122.25,12.472662584630097
10,3.2031,52,2202.0,434.0,910.0,402.0,37.85,-122.26,12.547891278953442
11,3.2705,52,3503.0,752.0,1504.0,734.0,37.85,-122.26,12.395870352803575
12,3.075,52,2491.0,474.0,1098.0,468.0,37.85,-122.26,12.271396795480596
13,2.6736,52,696.0,191.0,345.0,174.0,37.84,-122.26,12.161603382806213
14,1.9167,52,2643.0,626.0,1212.0,620.0,37.85,-122.26,11.977922833779727
15,2.125,50,1120.0,283.0,697.0,264.0,37.85,-122.26,11.849404844423074
16,2.775,52,1966.0,347.0,793.0,331.0,37.85,-122.27,11.934926432385152
17,2.1202,52,1228.0,293.0,648.0,303.0,37.85,-122.27,11.954407441448915
18,1.9911,50,2239.0,455.0,990.0,419.0,37.84,-122.26,11.974777207691876
19,2.6033,52,1503.0,298.0,690.0,275.0,37.84,-122.27,12.000897933306716
20,1.3578,40,751.0,184.0,409.0,166.0,37.85,-122.27,11.901590234400047
21,1.7135,42,1639.0,367.0,929.0,366.0,37.85,-122.27,11.98168457011701
22,1.725,52,2436.0,541.0,1015.0,478.0,37.84,-122.27,11.643084929027989
23,2.1806,52,1688.0,337.0,853.0,325.0,37.84,-122.27,11.5099309859899
24,2.6,52,2224.0,437.0,1006.0,422.0,37.84,-122.27,11.795099898183592
25,2.4038,41,535.0,123.0,317.0,119.0,37.85,-122.28,11.58525542883217
26,2.4597,49,1130.0,244.0,607.0,239.0,37.85,-122.28,11.448930795918299
27,1.808,52,1898.0,421.0,1102.0,397.0,37.85,-122.28,11.566475710526321
28,1.6424,50,2082.0,492.0,1131.0,473.0,37.84,-122.28,11.598194491615347
29,1.6875,52,729.0,160.0,395.0,155.0,37.84,-122.28,11.790564777297387
30,1.9274,49,1916.0,447.0,863.0,378.0,37.84,-122.28,11.714240498256716
31,1.9615,52,2153.0,481.0,1168.0,441.0,37.84,-122.28,11.654433707761807
32,1.7969,48,1922.0,409.0,1026.0,335.0,37.84,-122.27,11.611874470755124
33,1.375,49,1655.0,366.0,754.0,329.0,37.83,-122.27,11.560772327227417
34,2.7303,51,2665.0,574.0,1258.0,536.0,37.83,-122.27,11.605513761992055
35,1.4861,49,1215.0,282.0,570.0,264.0,37.83,-122.27,11.484536278461452
36,1.0972,48,1798.0,432.0,987.0,374.0,37.83,-122.27,11.556951919719207
37,1.4103,52,1511.0,390.0,901.0,403.0,37.83,-122.28,11.551193801680078
38,3.48,52,1470.0,330.0,689.0,309.0,37.83,-122.26,12.162125982647739
39,2.5898,52,2432.0,715.0,1377.0,696.0,37.83,-122.26,12.07824495582233
40,2.0978,52,1665.0,419.0,946.0,395.0,37.83,-122.26,11.953764151901414
41,1.2852,51,936.0,311.0,517.0,249.0,37.83,-122.26,11.918397239722838
42,1.025,49,713.0,202.0,462.0,189.0,37.84,-122.26,11.685205103383671
43,3.9643,52,950.0,202.0,467.0,198.0,37.84,-122.26,12.14844882928968
44,3.0125,52,1443.0,311.0,660.0,292.0,37.83,-122.26,12.124868013083418
45,2.6768,52,1656.0,420.0,718.0,382.0,37.83,-122.26,12.11341444611523
46,2.026,50,1125.0,322.0,616.0,304.0,37.83,-122.26,11.86710429621008
47,1.7348,43,1007.0,312.0,558.0,253.0,37.82,-122.27,11.83138646878959
48,0.9506,40,624.0,195.0,423.0,160.0,37.82,-122.26,12.141539457711714
49,1.775,40,946.0,375.0,700.0,352.0,37.82,-122.27,11.630717389475995
50,0.9218,21,896.0,453.0,735.0,438.0,37.82,-122.27,12.05467400868968
51,1.5045,43,1868.0,456.0,1061.0,407.0,37.82,-122.27,11.448930795918299
52,1.1108,41,3221.0,853.0,1959.0,720.0,37.82,-122.27,11.487617913343598
53,1.2475,52,1630.0,456.0,1162.0,400.0,37.82,-122.27,11.554077005184336
54,1.6098,52,1170.0,235.0,701.0,233.0,37.82,-122.28,11.37940550085183
55,1.4113,52,945.0,243.0,576.0,220.0,37.82,-122.28,11.32781201446548
56,1.5057,52,1238.0,288.0,622.0,259.0,37.82,-122.28,11.37940550085183
57,0.8172,52,1489.0,335.0,728.0,244.0,37.82,-122.28,11.353941456740479
58,1.2171,52,1387.0,341.0,1074.0,304.0,37.82,-122.28,11.293537353157436
59,2.5625,2,158.0,43.0,94.0,57.0,37.82,-122.29,11.002116507732017
60,3.3929,52,1121.0,211.0,554.0,187.0,37.83,-122.29,11.234546649377918
61,6.1183,49,135.0,29.0,86.0,23.0,37.82,-122.29,11.225256725762893
62,0.9011,50,760.0,190.0,377.0,122.0,37.81,-122.29,11.363276304750233
63,1.191,52,1224.0,237.0,521.0,159.0,37.81,-122.3,11.239816684367907
64,2.5938,48,828.0,182.0,392.0,133.0,37.81,-122.3,11.205054290550551
65,1.1667,52,1010.0,209.0,604.0,187.0,37.81,-122.3,11.269591961359195
66,0.8056,48,1455.0,354.0,788.0,332.0,37.81,-122.3,11.34333452885509
67,2.6094,52,1027.0,244.0,492.0,147.0,37.8,-122.29,11.305913595583258
68,1.8516,52,572.0,109.0,274.0,82.0,37.81,-122.3,11.350418300109132
69,0.9802,46,2801.0,644.0,1823.0,611.0,37.81,-122.29,11.769124610238766
70,1.7719,26,768.0,152.0,392.0,127.0,37.81,-122.29,11.320565693461432
71,0.7286,46,935.0,297.0,582.0,277.0,37.81,-122.29,11.46374572492597
72,1.75,49,844.0,204.0,560.0,152.0,37.81,-122.29,11.225256725762893
73,0.4999,46,12.0,4.0,18.0,7.0,37.81,-122.29,11.119897691565697
74,2.483,20,835.0,161.0,290.0,133.0,37.81,-122.29,11.83138646878959
75,0.9241,17,1237.0,462.0,762.0,439.0,37.81,-122.28,12.086731521684555
76,2.4464,36,2914.0,562.0,1236.0,509.0,37.81,-122.28,11.533717798424087
77,1.1111,19,1207.0,243.0,721.0,207.0,37.81,-122.28,11.592669666556795
78,0.8026,23,1745.0,374.0,1054.0,325.0,37.81,-122.29,11.630717389475995
79,2.0114,38,684.0,176.0,344.0,155.0,37.8,-122.28,11.785247676408115
80,1.5,17,924.0,289.0,609.0,289.0,37.81,-122.28,11.998439434579149
81,1.1667,52,210.0,56.0,183.0,56.0,37.81,-122.27,11.630717389475995
82,1.5208,52,340.0,97.0,200.0,87.0,37.81,-122.28,11.630717389475995
83,0.8075,52,386.0,164.0,346.0,155.0,37.81,-122.28,11.83138646878959
84,1.8088,35,948.0,184.0,467.0,169.0,37.81,-122.28,11.685205103383671
85,2.4083,52,773.0,143.0,377.0,115.0,37.81,-122.28,11.494771677590096
86,0.977,40,880.0,451.0,582.0,380.0,37.81,-122.27,11.685205103383671
87,0.76,10,875.0,348.0,546.0,330.0,37.81,-122.27,11.998439434579149
88,0.9722,10,105.0,42.0,125.0,39.0,37.8,-122.27,11.83138646878959
89,1.2434,52,249.0,78.0,396.0,85.0,37.8,-122.27,13.122367377396328
90,2.0938,16,994.0,392.0,800.0,362.0,37.8,-122.27,11.998439434579149
91,0.8668,52,215.0,87.0,904.0,88.0,37.8,-122.28,11.83138646878959
92,0.75,52,96.0,31.0,191.0,34.0,37.8,-122.28,11.998439434579149
93,2.6354,27,1055.0,347.0,718.0,302.0,37.79,-122.27,12.141539457711714
94,1.8477,39,1715.0,623.0,1327.0,467.0,37.8,-122.27,12.09626335986454
95,2.0096,36,5329.0,2477.0,3469.0,2323.0,37.8,-122.26,11.775297421715827
96,2.8345,31,4596.0,1331.0,2048.0,1180.0,37.82,-122.26,12.121608929585332
97,2.0062,29,335.0,107.0,202.0,91.0,37.81,-122.26,11.736077016252437
98,1.2185,22,3682.0,1270.0,2024.0,1250.0,37.82,-122.26,12.04355959836804
99,2.6104,37,3633.0,1085.0,1838.0,980.0,37.82,-122.26,12.1709686470671
100,2.4912,29,4656.0,1414.0,2304.0,1250.0,37.81,-122.25,12.459943248455652
101,3.2177,28,5806.0,1603.0,2563.0,1497.0,37.81,-122.25,12.518694860909774
102,3.125,39,854.0,242.0,389.0,228.0,37.81,-122.25,12.377927112974284
103,2.5795,52,2155.0,701.0,895.0,613.0,37.81,-122.25,12.765691290604371
104,2.8406,34,5871.0,1914.0,2689.0,1789.0,37.81,-122.26,12.723976161813853
105,4.9306,52,1509.0,225.0,674.0,244.0,37.82,-122.24,12.655238799709434
106,3.2727,52,2026.0,482.0,709.0,456.0,37.81,-122.24,12.500609917318906
107,3.1691,52,1758.0,460.0,686.0,422.0,37.81,-122.25,12.466130405907165
108,3.9,52,3481.0,751.0,1444.0,718.0,37.82,-122.24,12.52707222413625
109,3.9063,28,3337.0,855.0,1520.0,802.0,37.82,-122.25,12.323860125621126
110,5.0917,52,1424.0,289.0,550.0,253.0,37.82,-122.25,12.47801017053037
111,2.6429,32,3809.0,1098.0,1806.0,1022.0,37.82,-122.25,12.294545870166347
112,3.0233,26,3959.0,1196.0,1749.0,1217.0,37.82,-122.25,12.449022745701502
113,3.1484,52,2376.0,559.0,939.0,519.0,37.83,-122.25,12.319852122072682
114,3.4722,35,1613.0,428.0,675.0,422.0,37.83,-122.25,12.40123227382928
115,3.1429,52,1279.0,287.0,534.0,291.0,37.83,-122.25,12.352771342460947
116,2.4234,28,5022.0,1750.0,2558.0,1661.0,37.83,-122.25,12.294545870166347
117,3.0897,52,4190.0,1105.0,1786.0,1037.0,37.83,-122.25,12.363507925148648
118,5.8596,50,2515.0,399.0,970.0,373.0,37.84,-122.23,12.699551683459445
119,5.2868,47,3175.0,454.0,1098.0,485.0,37.84,-122.23,12.758810549239202
120,5.956,41,2576.0,406.0,794.0,376.0,37.83,-122.24,12.810664530598725
121,4.9643,37,334.0,54.0,98.0,47.0,37.85,-122.24,12.721888795877375
122,6.3434,52,2800.0,411.0,1061.0,403.0,37.85,-122.23,12.830943661992771
123,5.1773,52,3529.0,574.0,1177.0,555.0,37.84,-122.24,12.87262171168374
124,7.2354,52,2612.0,365.0,901.0,367.0,37.85,-122.24,12.876721117631158
125,5.457,28,5287.0,1048.0,2031.0,956.0,37.85,-122.22,12.72873098576518
126,7.5,50,2935.0,473.0,1031.0,479.0,37.84,-122.22,12.595411759236592
127,6.0194,44,3424.0,597.0,1358.0,597.0,37.84,-122.21,12.585539372236147
128,7.5544,40,4991.0,674.0,1616.0,654.0,37.83,-122.21,12.927566729229966
129,6.0666,30,2211.0,346.0,844.0,343.0,37.84,-122.2,12.649157827477366
130,7.0548,34,3038.0,490.0,1140.0,496.0,37.84,-122.21,12.694348933246843
131,11.6017,18,1617.0,210.0,533.0,194.0,37.84,-122.19,12.880549107943006
132,7.4882,35,2865.0,460.0,1072.0,443.0,37.84,-122.2,12.673889510548893
133,6.8976,34,5065.0,788.0,1627.0,766.0,37.83,-122.21,12.71680126459136
134,8.2049,28,1326.0,184.0,463.0,190.0,37.83,-122.19,12.722485630879172
135,8.401,26,1589.0,223.0,542.0,211.0,37.83,-122.2,12.769113988119456
136,6.8538,29,1791.0,271.0,661.0,269.0,37.83,-122.19,12.818283594342818
137,8.317,32,1835.0,264.0,635.0,263.0,37.82,-122.19,12.81011808399072
138,7.0175,37,1229.0,181.0,420.0,176.0,37.82,-122.2,12.812302081080515
139,6.3302,39,3770.0,534.0,1265.0,500.0,37.82,-122.2,12.801609753558902
140,6.3624,30,292.0,38.0,126.0,52.0,37.81,-122.18,13.08839492693925
141,7.0549,52,2375.0,333.0,813.0,350.0,37.82,-122.21,12.711084401471556
142,6.7851,45,2964.0,436.0,1067.0,426.0,37.81,-122.2,12.686957484108422
143,2.8929,50,2833.0,605.0,1260.0,552.0,37.8,-122.21,12.286273802188468
144,3.0812,38,2254.0,535.0,951.0,487.0,37.8,-122.21,12.359227115018937
145,5.2402,52,1389.0,212.0,510.0,224.0,37.81,-122.21,12.59946854621754
146,6.5217,52,1971.0,335.0,765.0,308.0,37.81,-122.22,12.519791548657462
147,3.2632,52,2183.0,465.0,1129.0,460.0,37.8,-122.22,12.33578864378571
148,3.0298,52,2286.0,464.0,1073.0,441.0,37.8,-122.22,12.20407565286699
149,4.5428,52,2721.0,541.0,1185.0,515.0,37.8,-122.22,12.38756469170864
150,4.072,52,2024.0,339.0,756.0,340.0,37.81,-122.22,12.506551242106323
151,5.3509,52,2944.0,536.0,1034.0,521.0,37.81,-122.22,12.618516677531483
152,3.1603,52,2033.0,486.0,787.0,459.0,37.8,-122.23,12.504327379899443
153,4.7708,52,1433.0,229.0,612.0,213.0,37.81,-122.23,12.659378260676938
154,8.1564,52,2927.0,402.0,1021.0,380.0,37.81,-122.22,12.874160958936733
155,8.8793,52,2315.0,292.0,861.0,258.0,37.81,-122.23,12.924646315668351
