,f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,foo
0,60,108,76,71,94,0,0,3,0,1,28,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,130,77,76,71,94,0,0,0,43,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,110,89,76,71,94,0,6,3,9,48,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,126,89,72,94,0,0,0,0,0,0,0,0,22,37,0,0,0,0,2,0,0,0,0,0,0,0
4,15,119,78,71,94,0,0,1,1,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0
5,50,113,100,143,94,0,0,0,0,0,5,72,0,0,0,0,0,0,0,8,60,0,0,0,0,0,0
6,117,77,76,71,94,37,73,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,81,110,77,72,94,0,0,0,56,6,0,0,43,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,44,96,76,71,94,1,1,2,3,1,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
9,66,80,95,71,94,0,0,0,39,17,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,70
10,36,153,86,73,94,0,0,0,0,0,10,35,0,43,16,4,0,0,0,2,0,0,0,0,0,0,0
11,65,133,76,71,94,42,5,0,0,0,0,0,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22,105,113,71,94,3,4,0,0,2,0,0,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0
13,87,77,91,113,94,0,79,0,0,0,0,0,0,0,0,0,0,0,0,5,34,0,0,0,0,0,0
14,71,85,130,71,94,0,0,0,12,50,0,0,1,2,0,0,24,25,0,0,0,0,0,0,0,0,0
15,89,86,76,71,94,0,0,21,9,22,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
16,60,77,76,71,94,0,0,46,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
17,59,77,76,71,94,1,1,37,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
18,86,101,76,71,94,0,0,0,0,12,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,56,83,79,71,94,0,0,0,37,9,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,100
20,70,125,84,71,94,0,2,0,0,45,18,0,0,26,25,0,0,0,0,0,0,0,0,0,0,0,0
21,74,77,76,71,94,31,31,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
22,115,77,76,71,94,0,0,83,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,18,113,91,121,94,1,2,1,0,0,0,0,0,16,27,0,0,0,0,0,20,19,0,0,0,0,0
24,60,107,104,98,94,0,0,3,0,0,32,45,0,0,0,0,0,0,8,32,0,0,0,0,0,0,0
25,70,91,76,71,94,0,4,1,0,12,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
26,69,78,76,76,98,0,0,3,3,49,5,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,100
27,62,84,76,71,94,18,30,0,1,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,100
28,75,81,82,73,94,0,1,32,31,0,0,4,3,0,0,0,0,1,4,0,0,0,0,0,0,0,100
29,65,77,76,71,94,0,2,39,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
30,73,80,76,71,94,1,3,1,0,48,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
31,54,77,76,71,94,0,0,0,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
32,92,79,76,71,94,0,0,26,56,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40
33,70,77,76,71,94,2,10,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
34,117,77,76,71,94,0,30,18,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,58,77,82,71,94,0,37,9,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,100
36,97,77,76,71,94,56,6,0,12,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,46,102,116,128,94,0,0,0,0,0,19,42,0,0,0,0,0,1,1,54,15,0,0,0,0,0,0
38,89,77,76,71,94,0,0,16,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
39,59,80,110,91,94,5,42,0,0,0,0,5,1,0,0,0,0,0,27,14,0,0,0,0,0,0,0
40,55,86,76,71,94,0,0,5,4,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
41,138,112,76,71,94,0,37,25,0,18,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,69,77,76,71,94,46,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
43,78,77,76,71,94,0,3,40,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
44,86,105,79,71,94,0,0,6,56,0,0,19,26,0,0,0,2,1,0,0,0,0,0,0,0,0,20
45,59,94,76,71,94,0,0,0,1,3,52,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
46,74,77,82,71,94,0,2,1,19,43,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,100
47,63,77,76,71,94,42,5,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
48,106,134,76,71,94,0,0,0,0,9,64,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,35,77,76,71,94,0,6,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
50,92,77,76,71,94,33,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,59,89,83,75,94,0,0,0,0,10,52,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,100
52,105,88,78,71,94,23,23,2,0,15,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,19,116,81,71,94,0,3,3,0,0,0,0,0,30,14,0,0,0,0,0,0,0,0,0,0,0,0
54,36,100,76,71,94,0,0,0,0,0,5,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20
55,13,80,80,72,160,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,32,0
56,55,103,76,71,94,0,0,0,1,3,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,123,86,76,71,94,0,1,46,19,24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,120,77,76,71,94,34,48,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,16,117,80,71,94,0,0,2,1,0,0,0,0,32,12,0,0,0,0,0,0,0,0,0,0,0,0
60,139,86,76,71,94,0,0,31,33,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,16,96,76,71,94,0,0,2,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,100
62,61,120,118,72,94,0,0,11,37,0,0,6,1,0,17,57,0,0,0,0,1,0,0,0,0,0,0
63,74,81,76,71,94,0,0,0,0,62,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100
64,60,93,76,73,102,1,2,0,0,1,60,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,70
65,45,108,105,71,94,0,0,0,0,0,44,2,0,0,0,36,7,0,0,0,0,0,0,0,0,0,0
66,156,94,76,71,94,46,28,18,0,5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,81,77,76,71,94,0,0,39,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
68,110,116,76,71,94,0,0,39,39,1,3,25,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,60,77,149,89,94,23,23,2,2,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0
70,76,95,80,71,94,1,2,0,2,12,67,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,60
71,49,101,76,71,94,0,0,1,1,0,22,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,94,103,104,71,94,9,37,0,0,22,24,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0
73,55,104,102,71,94,2,2,2,0,22,24,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,10
74,59,77,76,81,95,0,42,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,100
75,75,116,76,71,94,0,44,19,0,0,0,0,16,29,0,0,0,0,0,0,0,0,0,0,0,0,40
76,15,116,102,71,94,0,0,0,0,0,0,0,10,10,5,38,0,0,0,0,0,0,0,0,0,0,0
