,a1,a2,a3,a4,a5,y2,y1
0,0.663113,0.774276,0.47097,0.096044,0.019865,0.191476,0.083362
1,0.65996,0.766021,0.473398,0.111023,0.027957,0.174192,0.081265
2,0.65467,0.767519,0.474198,0.10541,0.028907,0.165544,0.079168
3,0.653325,0.769922,0.475963,0.066221,0.029411,0.16819,0.07707
4,0.654726,0.760449,0.478833,0.033746,0.031592,0.170836,0.074973
5,0.656049,0.770984,0.480173,0.07637,0.029059,0.173482,0.072876
6,0.659265,0.767728,0.473564,0.072832,0.030466,0.176128,0.070778
7,0.664925,0.771507,0.468518,0.037896,0.028344,0.178774,0.068681
8,0.659041,0.768564,0.468305,0.210117,0.17725,0.181421,0.066583
9,0.650972,0.75303,0.465209,0.402624,0.385987,0.184067,0.064486
10,0.649627,0.754249,0.46792,0.396773,0.444726,0.186713,0.062389
11,0.644673,0.76522,0.467871,0.377757,0.47477,0.189359,0.060291
12,0.641113,0.771071,0.46455,0.408316,0.490413,0.202504,0.058194
13,0.643859,0.775825,0.449397,0.428523,0.496781,0.229378,0.056097
14,0.646604,0.784184,0.430624,0.408951,0.49555,0.256252,0.053999
15,0.653247,0.782896,0.427877,0.397725,0.4983,0.263734,0.051902
16,0.664342,0.765534,0.427541,0.399755,0.5056,0.245859,0.049804
17,0.673319,0.752229,0.424622,0.416934,0.508549,0.227984,0.047707
18,0.676738,0.762782,0.419276,0.40911,0.506526,0.210108,0.04561
19,0.674177,0.764454,0.418128,0.391086,0.508895,0.171483,0.060932
20,0.668881,0.763061,0.42953,0.394063,0.508649,0.140356,0.081198
21,0.665691,0.767501,0.441444,0.42994,0.507147,0.154515,0.078143
22,0.664906,0.772151,0.442945,0.436982,0.507042,0.168675,0.075087
23,0.664122,0.77391,0.442748,0.392702,0.50526,0.182835,0.072031
24,0.665979,0.771542,0.43917,0.376544,0.505389,0.19071,0.068975
25,0.666539,0.778333,0.430807,0.415868,0.504568,0.190367,0.065919
26,0.662168,0.75923,0.424384,0.436131,0.512143,0.190025,0.062863
